[Host/IP]: ec2-34-215-106-99.us-west-2.compute.amazonaws.com - 34.215.106.99 || [Navegador]: Mozilla || [Date]: Sat Sep 30, 2017 3:04 am
[Host/IP]: msnbot-157-55-39-125.search.msn.com - 157.55.39.125 || [Navegador]: Mozilla || [Date]: Tue Jan 16, 2018 9:37 am
[Host/IP]: dsl-189-156-9-97-dyn.prod-infinitum.com.mx - 189.156.9.97 || [Navegador]: Mozilla || [Date]: Wed Jan 17, 2018 8:42 pm
[Host/IP]: msnbot-207-46-13-149.search.msn.com - 207.46.13.149 || [Navegador]: Mozilla || [Date]: Thu Jan 18, 2018 6:01 am
[Host/IP]: fixed-187-190-15-244.totalplay.net - 187.190.15.244 || [Navegador]: Mozilla || [Date]: Fri Jan 19, 2018 9:09 pm
[Host/IP]: msnbot-157-55-39-160.search.msn.com - 157.55.39.160 || [Navegador]: Mozilla || [Date]: Wed Jan 24, 2018 9:41 am
[Host/IP]: msnbot-157-55-39-4.search.msn.com - 157.55.39.4 || [Navegador]: Desconocido || [Date]: Tue Jan 30, 2018 4:05 am
[Host/IP]: msnbot-207-46-13-140.search.msn.com - 207.46.13.140 || [Navegador]: Desconocido || [Date]: Fri Feb 02, 2018 9:25 am
[Host/IP]: ec2-35-161-253-162.us-west-2.compute.amazonaws.com - 35.161.253.162 || [Navegador]: Mozilla || [Date]: Fri Feb 02, 2018 7:02 pm
[Host/IP]: 146.185.223.150 - 146.185.223.150 || [Navegador]: Mozilla || [Date]: Sat Feb 03, 2018 10:20 pm
[Host/IP]: c-73-71-155-64.hsd1.ca.comcast.net - 73.71.155.64 || [Navegador]: Mozilla || [Date]: Tue Feb 06, 2018 3:56 am
[Host/IP]: msnbot-157-55-39-209.search.msn.com - 157.55.39.209 || [Navegador]: Desconocido || [Date]: Tue Feb 06, 2018 3:15 pm
[Host/IP]: google-proxy-66-102-6-182.google.com - 66.102.6.182 || [Navegador]: Mozilla || [Date]: Fri Feb 09, 2018 1:51 am
[Host/IP]: dsl-187-192-66-202-dyn.prod-infinitum.com.mx - 187.192.66.202 || [Navegador]: Mozilla || [Date]: Fri Feb 09, 2018 9:29 pm
[Host/IP]: 187-162-250-71.static.axtel.net - 187.162.250.71 || [Navegador]: Mozilla || [Date]: Mon Feb 12, 2018 3:25 pm
[Host/IP]: 199-30-86-144.plateautel.net.86.30.199.in-addr.arpa - 199.30.86.144 || [Navegador]: Mozilla || [Date]: Tue Feb 13, 2018 1:55 am
[Host/IP]: 159.16.96.66 - 159.16.96.66 || [Navegador]: Mozilla || [Date]: Wed Feb 14, 2018 7:55 pm
[Host/IP]: msnbot-40-77-167-127.search.msn.com - 40.77.167.127 || [Navegador]: Mozilla || [Date]: Thu Feb 15, 2018 1:53 am
[Host/IP]: msnbot-157-55-39-42.search.msn.com - 157.55.39.42 || [Navegador]: Desconocido || [Date]: Tue Feb 20, 2018 11:47 pm
[Host/IP]: 133.237.7.78 - 133.237.7.78 || [Navegador]: Mozilla || [Date]: Wed Feb 21, 2018 10:27 pm
[Host/IP]: msnbot-207-46-13-168.search.msn.com - 207.46.13.168 || [Navegador]: Mozilla || [Date]: Sun Feb 25, 2018 3:52 pm
[Host/IP]: msnbot-40-77-167-54.search.msn.com - 40.77.167.54 || [Navegador]: Desconocido || [Date]: Mon Feb 26, 2018 7:23 pm
[Host/IP]: google-proxy-66-102-6-95.google.com - 66.102.6.95 || [Navegador]: Mozilla || [Date]: Tue Feb 27, 2018 4:09 am
[Host/IP]: msnbot-40-77-167-189.search.msn.com - 40.77.167.189 || [Navegador]: Desconocido || [Date]: Thu Mar 01, 2018 11:08 pm
[Host/IP]: msnbot-157-55-39-136.search.msn.com - 157.55.39.136 || [Navegador]: Mozilla || [Date]: Sat Mar 03, 2018 8:41 am
[Host/IP]: msnbot-207-46-13-119.search.msn.com - 207.46.13.119 || [Navegador]: Mozilla || [Date]: Mon Mar 05, 2018 9:59 am
[Host/IP]: dsl-189-144-85-46-dyn.prod-infinitum.com.mx - 189.144.85.46 || [Navegador]: Mozilla || [Date]: Tue Mar 06, 2018 1:23 am
[Host/IP]: msnbot-207-46-13-78.search.msn.com - 207.46.13.78 || [Navegador]: Mozilla || [Date]: Wed Mar 07, 2018 1:02 am
[Host/IP]: msnbot-40-77-167-9.search.msn.com - 40.77.167.9 || [Navegador]: Desconocido || [Date]: Sat Mar 10, 2018 1:19 am
[Host/IP]: 218.76.29.42 - 218.76.29.42 || [Navegador]: Desconocido || [Date]: Sat Mar 10, 2018 3:51 am
[Host/IP]: msnbot-207-46-13-97.search.msn.com - 207.46.13.97 || [Navegador]: Desconocido || [Date]: Tue Mar 13, 2018 2:49 am
[Host/IP]: msnbot-207-46-13-169.search.msn.com - 207.46.13.169 || [Navegador]: Mozilla || [Date]: Thu Mar 15, 2018 2:40 am
[Host/IP]: dsl-187-220-89-213-dyn.prod-infinitum.com.mx - 187.220.89.213 || [Navegador]: Mozilla || [Date]: Thu Mar 15, 2018 8:43 pm
[Host/IP]: msnbot-40-77-167-26.search.msn.com - 40.77.167.26 || [Navegador]: Mozilla || [Date]: Fri Mar 16, 2018 11:05 pm
[Host/IP]: dsl-189-253-231-235-dyn.prod-infinitum.com.mx - 189.253.231.235 || [Navegador]: Mozilla || [Date]: Sat Mar 17, 2018 1:27 pm
[Host/IP]: static.customer-201-144-181-2.uninet-ide.com.mx - 201.144.181.2 || [Navegador]: Mozilla || [Date]: Sat Mar 17, 2018 2:01 pm
[Host/IP]: msnbot-40-77-167-34.search.msn.com - 40.77.167.34 || [Navegador]: Desconocido || [Date]: Sun Mar 18, 2018 3:41 pm
[Host/IP]: 146.185.223.252 - 146.185.223.252 || [Navegador]: Mozilla || [Date]: Tue Mar 20, 2018 12:57 pm
[Host/IP]: msnbot-157-55-39-252.search.msn.com - 157.55.39.252 || [Navegador]: Desconocido || [Date]: Thu Mar 22, 2018 7:41 am
[Host/IP]: msnbot-157-55-39-63.search.msn.com - 157.55.39.63 || [Navegador]: Mozilla || [Date]: Fri Mar 23, 2018 3:29 am
[Host/IP]: 189.207.35.253 - 189.207.35.253 || [Navegador]: Mozilla || [Date]: Mon Mar 26, 2018 12:20 pm
[Host/IP]: msnbot-157-55-39-106.search.msn.com - 157.55.39.106 || [Navegador]: Desconocido || [Date]: Mon Mar 26, 2018 1:46 pm
[Host/IP]: 201-174-109-3.transtelco.net - 201.174.109.3 || [Navegador]: Mozilla || [Date]: Mon Mar 26, 2018 5:25 pm
[Host/IP]: msnbot-40-77-167-177.search.msn.com - 40.77.167.177 || [Navegador]: Mozilla || [Date]: Tue Mar 27, 2018 4:44 pm
[Host/IP]: msnbot-207-46-13-167.search.msn.com - 207.46.13.167 || [Navegador]: Mozilla || [Date]: Thu Mar 29, 2018 8:08 am
[Host/IP]: msnbot-40-77-167-76.search.msn.com - 40.77.167.76 || [Navegador]: Mozilla || [Date]: Mon Apr 02, 2018 10:25 am
[Host/IP]: msnbot-207-46-13-52.search.msn.com - 207.46.13.52 || [Navegador]: Desconocido || [Date]: Wed Apr 04, 2018 12:38 pm
[Host/IP]: google-proxy-66-102-6-184.google.com - 66.102.6.184 || [Navegador]: Mozilla || [Date]: Thu Apr 05, 2018 12:49 am
[Host/IP]: msnbot-157-55-39-166.search.msn.com - 157.55.39.166 || [Navegador]: Mozilla || [Date]: Fri Apr 06, 2018 4:42 am
[Host/IP]: msnbot-157-55-39-36.search.msn.com - 157.55.39.36 || [Navegador]: Mozilla || [Date]: Sun Apr 08, 2018 7:20 am
[Host/IP]: msnbot-207-46-13-144.search.msn.com - 207.46.13.144 || [Navegador]: Mozilla || [Date]: Tue Apr 10, 2018 2:39 am
[Host/IP]: mx2.mail-reliable.com - 178.17.170.156 || [Navegador]: Mozilla Firefox 2 || [Date]: Wed Apr 11, 2018 8:46 am
[Host/IP]: msnbot-40-77-167-88.search.msn.com - 40.77.167.88 || [Navegador]: Desconocido || [Date]: Wed Apr 11, 2018 9:55 am
[Host/IP]: msnbot-207-46-13-226.search.msn.com - 207.46.13.226 || [Navegador]: Desconocido || [Date]: Sun Apr 15, 2018 12:31 pm
[Host/IP]: msnbot-40-77-167-80.search.msn.com - 40.77.167.80 || [Navegador]: Mozilla || [Date]: Mon Apr 16, 2018 9:33 am
[Host/IP]: dsl-187-220-110-12-dyn.prod-infinitum.com.mx - 187.220.110.12 || [Navegador]: Mozilla || [Date]: Tue Apr 17, 2018 6:08 pm
[Host/IP]: msnbot-157-55-39-69.search.msn.com - 157.55.39.69 || [Navegador]: Mozilla || [Date]: Wed Apr 18, 2018 5:53 am
[Host/IP]: dsl-189-180-109-54-dyn.prod-infinitum.com.mx - 189.180.109.54 || [Navegador]: Mozilla || [Date]: Wed Apr 18, 2018 1:27 pm
[Host/IP]: customer-NAV-100-1.megared.net.mx - 189.197.100.1 || [Navegador]: Mozilla || [Date]: Wed Apr 18, 2018 8:55 pm
[Host/IP]: 146.185.223.202 - 146.185.223.202 || [Navegador]: Mozilla Firefox 3 || [Date]: Wed Apr 18, 2018 8:58 pm
[Host/IP]: msnbot-207-46-13-59.search.msn.com - 207.46.13.59 || [Navegador]: Mozilla || [Date]: Thu Apr 19, 2018 6:35 pm
[Host/IP]: 201.142.170.26.dsl.dyn.telnor.net - 201.142.170.26 || [Navegador]: Mozilla || [Date]: Sat Apr 21, 2018 9:21 pm
[Host/IP]: msnbot-157-55-39-244.search.msn.com - 157.55.39.244 || [Navegador]: Mozilla || [Date]: Sun Apr 22, 2018 9:57 am
[Host/IP]: mail.utmetropolitana.edu.mx - 201.134.190.210 || [Navegador]: Mozilla || [Date]: Tue Apr 24, 2018 1:22 pm
[Host/IP]: msnbot-207-46-13-38.search.msn.com - 207.46.13.38 || [Navegador]: Desconocido || [Date]: Tue Apr 24, 2018 3:01 pm
[Host/IP]: 165.249.0.204 - 165.249.0.204 || [Navegador]: Mozilla || [Date]: Fri Apr 27, 2018 6:12 am
[Host/IP]: customer-201-141-39-49.cablevision.net.mx - 201.141.39.49 || [Navegador]: Mozilla || [Date]: Fri Apr 27, 2018 12:18 pm
[Host/IP]: msnbot-40-77-167-57.search.msn.com - 40.77.167.57 || [Navegador]: Mozilla || [Date]: Sat Apr 28, 2018 4:40 am
[Host/IP]: ec2-34-210-166-248.us-west-2.compute.amazonaws.com - 34.210.166.248 || [Navegador]: Mozilla || [Date]: Sat Apr 28, 2018 12:54 pm
[Host/IP]: msnbot-40-77-167-136.search.msn.com - 40.77.167.136 || [Navegador]: Desconocido || [Date]: Sun Apr 29, 2018 4:36 pm
[Host/IP]: msnbot-157-55-39-238.search.msn.com - 157.55.39.238 || [Navegador]: Mozilla || [Date]: Tue May 01, 2018 5:52 pm
[Host/IP]: msnbot-157-55-39-250.search.msn.com - 157.55.39.250 || [Navegador]: Desconocido || [Date]: Thu May 03, 2018 5:54 pm
[Host/IP]: pc20116212852.optele.net - 201.162.128.52 || [Navegador]: Mozilla || [Date]: Sat May 05, 2018 6:50 pm
[Host/IP]: dsl-187-144-173-196-dyn.prod-infinitum.com.mx - 187.144.173.196 || [Navegador]: Mozilla || [Date]: Mon May 07, 2018 4:54 pm
[Host/IP]: msnbot-207-46-13-151.search.msn.com - 207.46.13.151 || [Navegador]: Desconocido || [Date]: Wed May 09, 2018 5:00 pm
[Host/IP]: customer-QRO-67-148.megared.net.mx - 177.227.67.148 || [Navegador]: Mozilla || [Date]: Wed May 09, 2018 5:07 pm
[Host/IP]: msnbot-157-55-39-105.search.msn.com - 157.55.39.105 || [Navegador]: Mozilla || [Date]: Sat May 12, 2018 2:39 am
[Host/IP]: msnbot-157-55-39-119.search.msn.com - 157.55.39.119 || [Navegador]: Desconocido || [Date]: Sun May 13, 2018 5:25 am
[Host/IP]: dsl-189-140-109-173.prod-infinitum.com.mx - 189.140.109.173 || [Navegador]: Mozilla || [Date]: Sun May 13, 2018 3:05 pm
[Host/IP]: dsl-189-148-175-71-dyn.prod-infinitum.com.mx - 189.148.175.71 || [Navegador]: Mozilla || [Date]: Mon May 14, 2018 2:18 pm
[Host/IP]: dsl-189-143-250-69-dyn.prod-infinitum.com.mx - 189.143.250.69 || [Navegador]: Mozilla || [Date]: Mon May 14, 2018 5:31 pm
[Host/IP]: dsl-187-159-47-146-dyn.prod-infinitum.com.mx - 187.159.47.146 || [Navegador]: Mozilla || [Date]: Tue May 15, 2018 8:31 pm
[Host/IP]: msnbot-207-46-13-63.search.msn.com - 207.46.13.63 || [Navegador]: Desconocido || [Date]: Wed May 16, 2018 10:11 am
[Host/IP]: msnbot-157-55-39-204.search.msn.com - 157.55.39.204 || [Navegador]: Mozilla || [Date]: Thu May 17, 2018 7:50 pm
[Host/IP]: msnbot-40-77-167-4.search.msn.com - 40.77.167.4 || [Navegador]: Mozilla || [Date]: Sun May 20, 2018 9:29 am
[Host/IP]: msnbot-40-77-167-37.search.msn.com - 40.77.167.37 || [Navegador]: Mozilla || [Date]: Tue May 22, 2018 11:58 am
[Host/IP]: ns3.netpilot.net - 62.67.194.35 || [Navegador]: Mozilla || [Date]: Wed May 23, 2018 11:18 pm
[Host/IP]: 208-87-233-140.mailcontrol.com - 208.87.233.140 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 4:29 am
[Host/IP]: 35.187.132.24 - 35.187.132.24 || [Navegador]: Desconocido || [Date]: Thu May 24, 2018 4:29 am
[Host/IP]: aip-137.trustwave.com - 204.13.201.137 || [Navegador]: Desconocido || [Date]: Thu May 24, 2018 4:29 am
[Host/IP]: ec2-34-217-121-183.us-west-2.compute.amazonaws.com - 34.217.121.183 || [Navegador]: Desconocido || [Date]: Thu May 24, 2018 4:32 am
[Host/IP]: ec2-35-163-194-255.us-west-2.compute.amazonaws.com - 35.163.194.255 || [Navegador]: Desconocido || [Date]: Thu May 24, 2018 4:32 am
[Host/IP]: 188.166.98.249 - 188.166.98.249 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 4:34 am
[Host/IP]: 74.217.90.250 - 74.217.90.250 || [Navegador]: Desconocido || [Date]: Thu May 24, 2018 4:42 am
[Host/IP]: 64.74.215.1 - 64.74.215.1 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 4:51 am
[Host/IP]: 64.74.215.170 - 64.74.215.170 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 5:01 am
[Host/IP]: msnbot-40-77-167-172.search.msn.com - 40.77.167.172 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 6:16 am
[Host/IP]: host-212-62-210-181.teledata-fttx.de - 212.62.210.181 || [Navegador]: Desconocido || [Date]: Thu May 24, 2018 4:08 pm
[Host/IP]: 11-46-15-51.rev.cloud.scaleway.com - 51.15.46.11 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 7:07 pm
[Host/IP]: no-rdns.m247.ro - 185.210.218.101 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 7:07 pm
[Host/IP]: 82.102.21.213 - 82.102.21.213 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 7:08 pm
[Host/IP]: 185.220.70.137 - 185.220.70.137 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 7:09 pm
[Host/IP]: 46-246-123-36-static.glesys.net - 46.246.123.36 || [Navegador]: Internet Explorer 7 || [Date]: Thu May 24, 2018 7:11 pm
[Host/IP]: 103.208.220.135 - 103.208.220.135 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 7:13 pm
[Host/IP]: 185.230.125.94 - 185.230.125.94 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 7:16 pm
[Host/IP]: 82.102.21.212 - 82.102.21.212 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 7:19 pm
[Host/IP]: no-rdns.m247.ro - 185.210.218.100 || [Navegador]: Mozilla || [Date]: Thu May 24, 2018 7:20 pm
[Host/IP]: 118.219.252.197 - 118.219.252.197 || [Navegador]: Desconocido || [Date]: Thu May 24, 2018 11:00 pm
[Host/IP]: 70.42.131.170 - 70.42.131.170 || [Navegador]: Desconocido || [Date]: Sat May 26, 2018 5:21 pm
[Host/IP]: ec2-52-59-102-42.eu-central-1.compute.amazonaws.com - 52.59.102.42 || [Navegador]: Mozilla || [Date]: Tue May 29, 2018 4:31 am
[Host/IP]: msnbot-157-55-39-199.search.msn.com - 157.55.39.199 || [Navegador]: Mozilla || [Date]: Thu May 31, 2018 7:36 pm
[Host/IP]: msnbot-207-46-13-87.search.msn.com - 207.46.13.87 || [Navegador]: Desconocido || [Date]: Fri Jun 01, 2018 12:13 am
[Host/IP]: msnbot-157-55-39-181.search.msn.com - 157.55.39.181 || [Navegador]: Mozilla || [Date]: Sat Jun 09, 2018 4:43 am
[Host/IP]: msnbot-157-55-39-169.search.msn.com - 157.55.39.169 || [Navegador]: Mozilla || [Date]: Wed Jun 13, 2018 11:00 am
[Host/IP]: msnbot-157-55-39-190.search.msn.com - 157.55.39.190 || [Navegador]: Mozilla || [Date]: Fri Jun 15, 2018 10:59 am
[Host/IP]: msnbot-157-55-39-241.search.msn.com - 157.55.39.241 || [Navegador]: Mozilla || [Date]: Sun Jun 17, 2018 11:32 am
[Host/IP]: dsl-189-234-218-158-dyn.prod-infinitum.com.mx - 189.234.218.158 || [Navegador]: Mozilla || [Date]: Mon Jun 18, 2018 2:32 pm
[Host/IP]: msnbot-207-46-13-61.search.msn.com - 207.46.13.61 || [Navegador]: Mozilla || [Date]: Tue Jun 19, 2018 5:31 am
